Country,Year,Cases
United States,1990,243000
United States,1991,214000
United States,1992,219500
United States,1993,225000
United States,1994,239500
United States,1995,249000
United States,1996,259000
United States,1997,279500
United States,1998,296750
United States,1999,322000
United States,2000,343750
United States,2001,371250
United States,2002,398750
United States,2003,443500
United States,2004,500250
United States,2005,572500
United States,2006,682250
United States,2007,803000
United States,2008,975500
United States,2009,1099250
United States,2010,1337600
United States,2011,1652250
United States,2012,1989750
United States,2013,2365000
United States,2014,2463750
United States,2015,2893250
United States,2016,3337500
Ireland,1990,537500
Ireland,1991,546000
Ireland,1992,513000
Ireland,1993,524500
Ireland,1994,526000
Ireland,1995,517500
Ireland,1996,536350
Ireland,1997,545050
Ireland,1998,546000
Ireland,1999,583100
Ireland,2000,586350
Ireland,2001,584650
Ireland,2002,564900
Ireland,2003,475400
Ireland,2004,472950
Ireland,2005,471400
Ireland,2006,470500
Ireland,2007,473400
Ireland,2008,448000
Ireland,2009,404400
Ireland,2010,404300
Ireland,2011,426100
Ireland,2012,484450
Ireland,2013,468800
Ireland,2014,413870
Ireland,2015,434600
Ireland,2016,444200
France,1990,92000
France,1991,118000
France,1992,137000
France,1993,151000
France,1994,161000
France,1995,181000
France,1996,225000
France,1997,255000
France,1998,289000
France,1999,327000
France,2000,340000
France,2001,393000
France,2002,399500
France,2003,398000
France,2004,398000
France,2005,379000
France,2006,379750
France,2007,370250
France,2008,370000
France,2009,353000
France,2010,380000
France,2011,376000
France,2012,365250
France,2013,364000
France,2014,364000
France,2015,358250
France,2016,345250
